Time,Open,High,Low,Close,Qty,Number,VWAP
2023-05-14 08:15:00,0.2116,0.2118,0.2116,0.2118,4072.0,8,0.2117496807465619
2023-05-14 08:16:00,0.2118,0.2119,0.2117,0.2119,56500.0,30,0.2117396424778761
2023-05-14 08:17:00,,,,,0.0,0,
2023-05-14 08:18:00,0.2119,0.212,0.2119,0.212,1185.0,5,0.21197350210970464
2023-05-14 08:19:00,,,,,0.0,0,
2023-05-14 08:20:00,0.2118,0.2118,0.2118,0.2118,527.0,1,0.2118
2023-05-14 08:21:00,0.2119,0.2119,0.2119,0.2119,1045.0,3,0.21189999999999998
2023-05-14 08:22:00,0.212,0.212,0.212,0.212,120.0,1,0.21200000000000002
2023-05-14 08:23:00,0.212,0.212,0.212,0.212,183.0,2,0.212
2023-05-14 08:24:00,,,,,0.0,0,
2023-05-14 08:25:00,0.212,0.212,0.212,0.212,3376.0,6,0.212
2023-05-14 08:26:00,,,,,0.0,0,
2023-05-14 08:27:00,,,,,0.0,0,
2023-05-14 08:28:00,,,,,0.0,0,
2023-05-14 08:29:00,0.2118,0.2118,0.2118,0.2118,944.0,4,0.2118
2023-05-14 08:30:00,,,,,0.0,0,
2023-05-14 08:31:00,0.2118,0.2119,0.2118,0.2119,5122.0,9,0.21180234283483013
2023-05-14 08:32:00,0.212,0.212,0.212,0.212,58.0,1,0.212
2023-05-14 08:33:00,,,,,0.0,0,
2023-05-14 08:34:00,,,,,0.0,0,
2023-05-14 08:35:00,0.2119,0.2119,0.2119,0.2119,119.0,1,0.2119
2023-05-14 08:36:00,,,,,0.0,0,
2023-05-14 08:37:00,,,,,0.0,0,
2023-05-14 08:38:00,,,,,0.0,0,
2023-05-14 08:39:00,0.2121,0.2122,0.2121,0.2121,3128.0,14,0.21219235933503836
2023-05-14 08:40:00,,,,,0.0,0,
2023-05-14 08:41:00,,,,,0.0,0,
2023-05-14 08:42:00,0.2121,0.2121,0.2121,0.2121,101.0,1,0.2121
2023-05-14 08:43:00,0.2121,0.2121,0.2121,0.2121,94.0,2,0.21209999999999996
2023-05-14 08:44:00,0.212,0.212,0.212,0.212,258.0,2,0.212
2023-05-14 08:45:00,,,,,0.0,0,
2023-05-14 08:46:00,0.2119,0.2119,0.2119,0.2119,119.0,1,0.2119
2023-05-14 08:47:00,0.212,0.212,0.212,0.212,50.0,1,0.212
2023-05-14 08:48:00,0.2119,0.2119,0.2119,0.2119,2173.0,1,0.2119
2023-05-14 08:49:00,0.2119,0.2119,0.2119,0.2119,240.0,2,0.2119
2023-05-14 08:50:00,0.2118,0.2118,0.2117,0.2117,906.0,3,0.21171324503311256
2023-05-14 08:51:00,,,,,0.0,0,
2023-05-14 08:52:00,0.2117,0.2117,0.2117,0.2117,240.0,2,0.2117
2023-05-14 08:53:00,0.2119,0.2119,0.2119,0.2119,538.0,4,0.2119
2023-05-14 08:54:00,,,,,0.0,0,
2023-05-14 08:55:00,0.212,0.212,0.2119,0.2119,487.0,3,0.2119753593429158
2023-05-14 08:56:00,0.2119,0.2119,0.2118,0.2118,499.0,4,0.21187615230460924
2023-05-14 08:57:00,0.2118,0.2118,0.2118,0.2118,120.0,1,0.21180000000000002
2023-05-14 08:58:00,,,,,0.0,0,
2023-05-14 08:59:00,,,,,0.0,0,
2023-05-14 09:00:00,0.2119,0.212,0.2119,0.212,2412.0,3,0.21190497512437811
2023-05-14 09:01:00,0.2121,0.2121,0.2121,0.2121,162.0,2,0.21209999999999998
2023-05-14 09:02:00,0.2121,0.2122,0.2121,0.2122,645.0,2,0.21210759689922482
2023-05-14 09:03:00,0.2121,0.2121,0.2121,0.2121,2196.0,1,0.21209999999999998
2023-05-14 09:04:00,0.2121,0.2121,0.2121,0.2121,182.0,2,0.2121
2023-05-14 09:05:00,,,,,0.0,0,
2023-05-14 09:06:00,,,,,0.0,0,
2023-05-14 09:07:00,0.2122,0.2122,0.2122,0.2122,239.0,2,0.2122
2023-05-14 09:08:00,0.2123,0.2123,0.2123,0.2123,1522.0,5,0.21230000000000002
2023-05-14 09:09:00,0.2122,0.2122,0.2122,0.2122,263.0,2,0.2122
2023-05-14 09:10:00,,,,,0.0,0,
2023-05-14 09:11:00,,,,,0.0,0,
2023-05-14 09:12:00,0.2122,0.2122,0.2122,0.2122,4517.0,6,0.2122
2023-05-14 09:13:00,,,,,0.0,0,
2023-05-14 09:14:00,0.2121,0.2121,0.2121,0.2121,48.0,1,0.21209999999999998
2023-05-14 09:15:00,,,,,0.0,0,
2023-05-14 09:16:00,,,,,0.0,0,
2023-05-14 09:17:00,,,,,0.0,0,
2023-05-14 09:18:00,0.2119,0.2119,0.2117,0.2118,973.0,10,0.21180781089414183
2023-05-14 09:19:00,0.2119,0.2119,0.2119,0.2119,1000.0,2,0.2119
2023-05-14 09:20:00,,,,,0.0,0,
2023-05-14 09:21:00,,,,,0.0,0,
2023-05-14 09:22:00,0.2117,0.2117,0.2117,0.2117,120.0,1,0.2117
2023-05-14 09:23:00,0.2117,0.2117,0.2116,0.2116,357.0,4,0.21163333333333334
2023-05-14 09:24:00,0.2117,0.2117,0.2116,0.2117,1258.0,6,0.2116220985691574
2023-05-14 09:25:00,0.2117,0.2117,0.2116,0.2116,333.0,3,0.21166426426426427
2023-05-14 09:26:00,0.2116,0.2116,0.2116,0.2116,2196.0,2,0.2116
2023-05-14 09:27:00,0.2116,0.2116,0.2116,0.2116,120.0,1,0.21159999999999998
2023-05-14 09:28:00,0.2116,0.2116,0.2116,0.2116,1942.0,5,0.2116
2023-05-14 09:29:00,0.2116,0.2116,0.2116,0.2116,94.0,1,0.21159999999999998
2023-05-14 09:30:00,0.2115,0.2115,0.2115,0.2115,7765.0,2,0.21150000000000002
2023-05-14 09:31:00,0.2116,0.2116,0.2115,0.2115,7980.0,5,0.21150117794486215
2023-05-14 09:32:00,0.2117,0.2117,0.2117,0.2117,67.0,1,0.2117
2023-05-14 09:33:00,0.2117,0.2118,0.2117,0.2118,1500.0,5,0.21170466666666665
2023-05-14 09:34:00,0.2118,0.2118,0.2118,0.2118,93.0,2,0.21180000000000002
2023-05-14 09:35:00,,,,,0.0,0,
2023-05-14 09:36:00,0.2119,0.212,0.2119,0.212,297.0,3,0.21195622895622895
2023-05-14 09:37:00,0.2121,0.2121,0.2121,0.2121,223.0,3,0.21209999999999998
2023-05-14 09:38:00,0.212,0.2121,0.212,0.2121,1887.0,5,0.21207514573396927
2023-05-14 09:39:00,,,,,0.0,0,
2023-05-14 09:40:00,,,,,0.0,0,
2023-05-14 09:41:00,0.2121,0.2121,0.2121,0.2121,119.0,1,0.21209999999999998
2023-05-14 09:42:00,,,,,0.0,0,
2023-05-14 09:43:00,,,,,0.0,0,
2023-05-14 09:44:00,0.2121,0.2121,0.2121,0.2121,591.0,2,0.2121
2023-05-14 09:45:00,,,,,0.0,0,
2023-05-14 09:46:00,0.2121,0.2121,0.2121,0.2121,94.0,1,0.2121
2023-05-14 09:47:00,,,,,0.0,0,
